taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
9083295,"Aphis gossypii Glover, 1877",9083295,"Aphis gossypii Glover, 1877",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Aphis,Afid,2049562.0,,,Aphis gossypii,Afid melon,9083295.0,,,,,NE,
9958563,BOLD:AAA3070,9958563,BOLD:AAA3070,GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Aphis,Afid,2049562.0,,,,,,,,,,,
10357000,BOLD:AAG3896,10357000,BOLD:AAG3896,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Tetraneura,Afid puru,2069847.0,,,Tetraneura nigriabdominalis,Afid akar-padi,5158788.0,,,,,,
2069847,"Tetraneura Hartig, 1841",2069847,"Tetraneura Hartig, 1841",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Tetraneura,Afid puru,2069847.0,,,,,,,,,,,
10060681,BOLD:AAD6640,10060681,BOLD:AAD6640,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Periphyllus,Afid periphylus,2071253.0,,,Periphyllus testudinaceus,Afid apel-biasa,2071290.0,,,,,,
2071353,"Thoracaphis arboris van der Goot, 1917",2071353,"Thoracaphis arboris van der Goot, 1917",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Thoracaphis,Afid,2071347.0,,,Thoracaphis arboris,Afid,2071353.0,,,,,NE,
2071363,"Shivaphis celti Das, 1918",2071363,"Shivaphis celti Das, 1918",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Shivaphis,Afid,2071360.0,,,Shivaphis celti,Afid wol-asia,2071363.0,,,,,NE,
2073744,"Tuberolachnus salignus (Gmelin, 1790)",2073744,"Tuberolachnus salignus (Gmelin, 1790)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Tuberolachnus,Afid willow-besar,2073733.0,,,Tuberolachnus salignus,Afid willow-besar,2073744.0,,,,,NE,
2074316,"Hysteroneura setariae (Thomas, 1878)",2074316,"Hysteroneura setariae (Thomas, 1878)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Hysteroneura,Afid,2074315.0,,,Hysteroneura setariae,Afid plum-karat,2074316.0,,,,,NE,
10632385,BOLD:AAW6320,10632385,BOLD:AAW6320,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Cerataphis,Afid,2074358.0,,,Cerataphis brasiliensis,Afid palem,2074364.0,,,,,,
2074372,"Cerataphis vandermeermohri (Hille Ris Lambers, 1931)",2074372,"Cerataphis vandermeermohri (Hille Ris Lambers, 1931)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Cerataphis,Afid,2074358.0,,,Cerataphis vandermeermohri,Afid,2074372.0,,,,,NE,
10644842,BOLD:AAB0219,10644842,BOLD:AAB0219,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Pentalonia,Afid,2074687.0,,,Pentalonia nigronervosa,Afid pisang,2074692.0,,,,,,
10551043,BOLD:ACH5174,10551043,BOLD:ACH5174,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Astegopteryx,Afid,2075119.0,,,Astegopteryx rhapidis,Afid,2075144.0,,,,,,
2075147,"Astegopteryx minuta (van der Goot, 1917)",2075147,"Astegopteryx minuta (van der Goot, 1917)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Astegopteryx,Afid,2075119.0,,,Astegopteryx minuta,Afid,2075147.0,,,,,NE,
2075154,"Astegopteryx nipae (van der Goot, 1917)",2075154,"Astegopteryx nipae (van der Goot, 1917)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Astegopteryx,Afid,2075119.0,,,Astegopteryx nipae,Afid,2075154.0,,,,,NE,
2076179,"Myzus persicae (Sulzer, 1776)",2076179,"Myzus persicae (Sulzer, 1776)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Hemiptera,Serangga sejati,809,,,,,Aphididae,Afid,3042.0,,,,,,,,,Myzus,Afid,2076150.0,,,Myzus persicae,Afid persik-hijau,2076179.0,,,,,NE,
