taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnamespecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
7212,Neanuridae,7212,Neanuridae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Poduromorpha,Ekor-pegas,10802062.0,,,,,Neanuridae,Ekor-pegas kaki-pendek,7212.0,,,,,,,,,,,,,,,,,,,,,NE,
7215,Hypogastruridae,7215,Hypogastruridae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Poduromorpha,Ekor-pegas,10802062.0,,,,,Hypogastruridae,Ekor-pegas hipogastrurid,7215.0,,,,,,,,,,,,,,,,,,,,,NE,
10802062,Poduromorpha,10802062,Poduromorpha,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Poduromorpha,Ekor-pegas,10802062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
2120700,"Cyphoderus H.Nicolet, 1842",2120700,"Cyphoderus H.Nicolet, 1842",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Paronellidae,Ekor-pegas tubuh-panjang,7099.0,,,,,,,,,Cyphoderus,Ekor-pegas tubuh-panjang,2120700.0,,,,,,,,,,,
2121034,"Pseudoparonella Handschin, 1925",2121034,"Pseudoparonella Handschin, 1925",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Paronellidae,Ekor-pegas tubuh-panjang,7099.0,,,,,,,,,Pseudoparonella,Ekor-pegas tubuh-panjang,2121034.0,,,,,,,,,,,
3254783,"Paronella H.Schött, 1893",3254783,"Paronella H.Schött, 1893",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Paronellidae,Ekor-pegas tubuh-panjang,7099.0,,,,,,,,,Paronella,Ekor-pegas tubuh-panjang,3254783.0,,,,,,,,,,,
4641025,"Callyntrura C.Börner, 1906",4641025,"Callyntrura C.Börner, 1906",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Paronellidae,Ekor-pegas tubuh-panjang,7099.0,,,,,,,,,Callyntrura,Ekor-pegas tubuh-panjang,4641025.0,,,,,,,,,,,
7099,Paronellidae,7099,Paronellidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Paronellidae,Ekor-pegas tubuh-panjang,7099.0,,,,,,,,,,,,,,,,,,,,,NE,
2121914,"Harlomillsia Bonet, 1944",2121914,"Harlomillsia Bonet, 1944",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Oncopoduridae,Ekor-pegas kaki-pendek,7208.0,,,,,,,,,Harlomillsia,Ekor-pegas kaki-pendek,2121914.0,,,,,,,,,,,
2119964,"Folsomides centralis (Denis & J-R, 1931)",2119964,"Folsomides centralis (Denis & J-R, 1931)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Isotomidae,Ekor-pegas halus,7214.0,,,,,,,,,Folsomides,Ekor-pegas kaki-pendek,2119963.0,,,Folsomides centralis,Ekor-pegas tanah-kelabu,2119964.0,,,,,NE,
2119963,"Folsomides Stach, 1922",2119963,"Folsomides Stach, 1922",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Isotomidae,Ekor-pegas halus,7214.0,,,,,,,,,Folsomides,Ekor-pegas kaki-pendek,2119963.0,,,,,,,,,,NE,
7214,Isotomidae,7214,Isotomidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Isotomidae,Ekor-pegas halus,7214.0,,,,,,,,,,,,,,,,,,,,,NE,
8823550,"Entomobrya proxima Folsom, 1924",8823550,"Entomobrya proxima Folsom, 1924",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Entomobryidae,Ekor-pegas ramping,7216.0,,,,,,,,,Entomobrya,Ekor-pegas ramping,2120412.0,,,Entomobrya proxima,Ekor-pegas ramping,8823550.0,,,,,NE,
2120412,"Entomobrya Rondani, 1861",2120412,"Entomobrya Rondani, 1861",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Entomobryidae,Ekor-pegas ramping,7216.0,,,,,,,,,Entomobrya,Ekor-pegas ramping,2120412.0,,,,,,,,,,,
2120827,"Willowsia Shoebotham, 1917",2120827,"Willowsia Shoebotham, 1917",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Collembola,Ekor-pegas,10713444,,,,,Entomobryomorpha,Ekor-pegas kaki-pendek,11776269.0,,,,,Entomobryidae,Ekor-pegas ramping,7216.0,,,,,,,,,Willowsia,Ekor-pegas ramping,2120827.0,,,,,,,,,,,
